78,187.0,2497.0,31.0,169.0,0.858,0.525,0.012,0.638,0.652
79,47.0,2808.0,22.0,47.0,0.681,0.500,0.008,0.572,0.577
80,33.0,11119.0,20.0,35.0,0.623,0.485,0.002,0.547,0.545
81,123.0,2155.0,29.0,102.0,0.809,0.547,0.013,0.638,0.653
82,96.0,680.0,14.0,51.0,0.873,0.653,0.020,0.713,0.747
83,20.0,233.0,7.0,21.0,0.741,0.488,0.029,0.549,0.588
84,5.0,41.0,1.0,5.0,0.833,0.500,0.024,0.587,0.625
85,33.0,464.0,11.0,32.0,0.750,0.508,0.023,0.576,0.606
86,19.0,106.0,5.0,8.0,0.792,0.704,0.045,0.689,0.745
87,6.0,33.0,1.0,4.0,0.857,0.600,0.029,0.654,0.706
88,9.0,35.0,2.0,2.0,0.818,0.818,0.054,0.764,0.818
89,3.0,22.0,2.0,1.0,0.600,0.750,0.083,0.609,0.667
90,19.0,290.0,2.0,25.0,0.905,0.432,0.007,0.592,0.585
91,65.0,888.0,15.0,72.0,0.812,0.474,0.017,0.581,0.599
92,37.0,167.0,6.0,10.0,0.860,0.787,0.035,0.778,0.822
93,18.0,10426.0,16.0,30.0,0.529,0.375,0.002,0.443,0.439
94,19.0,356.0,1.0,28.0,0.950,0.404,0.003,0.593,0.567
95,87.0,1052.0,23.0,81.0,0.791,0.518,0.021,0.598,0.626
96,101.0,698.0,13.0,48.0,0.886,0.678,0.018,0.736,0.768
97,28.0,471.0,11.0,36.0,0.718,0.438,0.023,0.518,0.544
98,26.0,513.0,3.0,26.0,0.897,0.500,0.006,0.647,0.642
99,149.0,1817.0,27.0,141.0,0.847,0.514,0.015,0.622,0.639
100,228.0,48192.0,248.0,1070.0,0.479,0.176,0.005,0.279,0.257
101,247.0,51643.0,286.0,1088.0,0.463,0.185,0.006,0.282,0.264
102,255.0,51750.0,263.0,1035.0,0.492,0.198,0.005,0.302,0.282
103,190.0,51679.0,225.0,1076.0,0.458,0.150,0.004,0.252,0.226
104,216.0,51862.0,277.0,1041.0,0.438,0.172,0.005,0.264,0.247
105,223.0,64234.0,300.0,1059.0,0.426,0.174,0.005,0.264,0.247
106,321.0,53919.0,270.0,1167.0,0.543,0.216,0.005,0.332,0.309
107,545.0,89574.0,440.0,2000.0,0.553,0.214,0.005,0.333,0.309
108,505.0,103000.0,535.0,2227.0,0.486,0.185,0.005,0.289,0.268
109,481.0,102767.0,524.0,2115.0,0.479,0.185,0.005,0.287,0.267
110,457.0,103140.0,493.0,2111.0,0.481,0.178,0.005,0.283,0.260
111,445.0,102312.0,489.0,2053.0,0.476,0.178,0.005,0.281,0.259
112,409.0,96364.0,483.0,1884.0,0.459,0.178,0.005,0.276,0.257
113,219.0,60331.0,266.0,1171.0,0.452,0.158,0.004,0.257,0.234
114,174.0,41604.0,215.0,832.0,0.447,0.173,0.005,0.268,0.249
115,202.0,39178.0,171.0,817.0,0.542,0.198,0.004,0.318,0.290
116,197.0,38888.0,207.0,833.0,0.488,0.191,0.005,0.295,0.275
117,192.0,39125.0,209.0,826.0,0.479,0.189,0.005,0.290,0.271
118,222.0,39809.0,179.0,875.0,0.554,0.202,0.004,0.325,0.296
119,76.0,11469.0,52.0,257.0,0.594,0.228,0.005,0.358,0.330
