74,7.0,389.0,2.0,7.0,0.778,0.500,0.005,0.613,0.609
75,5.0,206.0,1.0,4.0,0.833,0.556,0.005,0.670,0.667
76,1.0,207.0,2.0,6.0,0.333,0.143,0.010,0.202,0.200
77,3.0,170.0,1.0,3.0,0.750,0.500,0.006,0.602,0.600
78,127.0,1916.0,18.0,48.0,0.876,0.726,0.009,0.781,0.794
79,32.0,2847.0,14.0,17.0,0.696,0.653,0.005,0.669,0.674
80,20.0,11164.0,14.0,10.0,0.588,0.667,0.001,0.625,0.625
81,82.0,2277.0,13.0,36.0,0.863,0.695,0.006,0.764,0.770
82,73.0,728.0,16.0,23.0,0.820,0.760,0.022,0.764,0.789
83,10.0,294.0,4.0,8.0,0.714,0.556,0.013,0.611,0.625
84,6.0,165.0,4.0,6.0,0.600,0.500,0.024,0.519,0.545
85,32.0,554.0,8.0,13.0,0.800,0.711,0.014,0.736,0.753
86,2.0,34.0,2.0,4.0,0.500,0.333,0.056,0.331,0.400
87,4.0,18.0,1.0,2.0,0.800,0.667,0.053,0.656,0.727
88,5.0,66.0,3.0,5.0,0.625,0.500,0.043,0.503,0.556
89,3.0,114.0,1.0,3.0,0.750,0.500,0.009,0.597,0.600
90,10.0,202.0,3.0,5.0,0.769,0.667,0.015,0.697,0.714
91,32.0,822.0,9.0,28.0,0.780,0.533,0.011,0.625,0.634
92,27.0,334.0,4.0,15.0,0.871,0.643,0.012,0.723,0.740
93,9.0,10526.0,10.0,11.0,0.474,0.450,0.001,0.461,0.462
94,3.0,33.0,2.0,3.0,0.600,0.500,0.057,0.478,0.545
95,61.0,1143.0,10.0,31.0,0.859,0.663,0.009,0.738,0.748
96,73.0,750.0,12.0,25.0,0.859,0.745,0.016,0.776,0.798
97,12.0,513.0,6.0,15.0,0.667,0.444,0.012,0.526,0.533
98,18.0,540.0,4.0,6.0,0.818,0.750,0.007,0.774,0.783
99,111.0,1959.0,18.0,46.0,0.860,0.707,0.009,0.765,0.776
100,16.0,47760.0,87.0,10.0,0.155,0.615,0.002,0.309,0.248
101,10.0,53115.0,131.0,8.0,0.071,0.556,0.002,0.198,0.126
102,17.0,53112.0,164.0,9.0,0.094,0.654,0.003,0.247,0.164
103,8.0,52992.0,161.0,9.0,0.047,0.471,0.003,0.149,0.086
104,8.0,53212.0,170.0,6.0,0.045,0.571,0.003,0.160,0.083
105,9.0,65638.0,161.0,8.0,0.053,0.529,0.002,0.167,0.096
106,64.0,55397.0,174.0,42.0,0.269,0.604,0.003,0.401,0.372
107,114.0,92147.0,244.0,54.0,0.318,0.679,0.003,0.464,0.433
108,38.0,105536.0,266.0,20.0,0.125,0.655,0.003,0.285,0.210
109,18.0,105622.0,224.0,26.0,0.074,0.409,0.002,0.174,0.126
110,17.0,105967.0,199.0,17.0,0.079,0.500,0.002,0.198,0.136
111,16.0,105076.0,192.0,15.0,0.077,0.516,0.002,0.199,0.134
112,11.0,98944.0,171.0,11.0,0.060,0.500,0.002,0.173,0.108
113,7.0,61847.0,125.0,7.0,0.053,0.500,0.002,0.162,0.096
114,15.0,42710.0,88.0,11.0,0.146,0.577,0.002,0.289,0.233
115,23.0,40233.0,92.0,20.0,0.200,0.535,0.002,0.326,0.291
116,15.0,40004.0,90.0,16.0,0.143,0.484,0.002,0.262,0.221
117,11.0,40261.0,67.0,13.0,0.141,0.458,0.002,0.253,0.216
118,29.0,40938.0,80.0,38.0,0.266,0.433,0.002,0.338,0.330
119,18.0,11807.0,19.0,10.0,0.486,0.643,0.002,0.558,0.554
